ctryname,ctry,year,sex,pop,death,age
Argentina ,501,1970,f,1212124,14676,0
Argentina ,501,1970,f,1147401,681,5
Argentina ,501,1970,f,1107290,513,10
Argentina ,501,1970,f,1061400,864,15
Argentina ,501,1970,f,966518,1001,20
Argentina ,501,1970,f,865165,1121,25
Argentina ,501,1970,f,807273,1375,30
Argentina ,501,1970,f,790712,1743,35
Argentina ,501,1970,f,772872,2061,40
Argentina ,501,1970,f,700343,2588,45
Argentina ,501,1970,f,613660,3465,50
Argentina ,501,1970,f,550142,4476,55
Argentina ,501,1970,f,462255,5657,60
Argentina ,501,1970,f,357013,6665,65
Argentina ,501,1970,f,255491,7683,70
Argentina ,501,1970,f,161152,8098,75
Argentina ,501,1970,f,85413,6880,80
Argentina ,501,1970,f,38111,7120,85
Argentina ,501,1970,f,,,110
Argentina ,501,1970,m,1248559,17507,0
Argentina ,501,1970,m,1181211,883,5
Argentina ,501,1970,m,1140616,778,10
Argentina ,501,1970,m,1091918,1197,15
Argentina ,501,1970,m,999721,3119,20
Argentina ,501,1970,m,886881,1669,25
Argentina ,501,1970,m,820518,1999,30
Argentina ,501,1970,m,801323,2742,35
Argentina ,501,1970,m,781016,3732,40
Argentina ,501,1970,m,705305,5053,45
Argentina ,501,1970,m,605328,7203,50
Argentina ,501,1970,m,533065,9575,55
Argentina ,501,1970,m,444010,11682,60
Argentina ,501,1970,m,338430,12187,65
Argentina ,501,1970,m,226716,11595,70
Argentina ,501,1970,m,136187,9952,75
Argentina ,501,1970,m,62817,6778,80
Argentina ,501,1970,m,21293,4919,85
Argentina ,501,1970,m,,,110
Argentina ,501,1980,f,1638989,15773,0
Argentina ,501,1980,f,1373092,652,5
Argentina ,501,1980,f,1211145,542,10
Argentina ,501,1980,f,1152476,945,15
Argentina ,501,1980,f,1121948,1155,20
Argentina ,501,1980,f,1078018,1302,25
Argentina ,501,1980,f,972846,1462,30
Argentina ,501,1980,f,862521,1822,35
Argentina ,501,1980,f,797252,2297,40
Argentina ,501,1980,f,773128,3062,45
Argentina ,501,1980,f,745457,3934,50
Argentina ,501,1980,f,662258,5009,55
Argentina ,501,1980,f,563194,6595,60
Argentina ,501,1980,f,481480,8548,65
Argentina ,501,1980,f,370749,10312,70
Argentina ,501,1980,f,247148,11478,75
Argentina ,501,1980,f,134861,12159,80
Argentina ,501,1980,f,66240,10116,85
Argentina ,501,1980,f,,,110
Argentina ,501,1980,m,1691423,19317,0
Argentina ,501,1980,m,1414350,865,5
Argentina ,501,1980,m,1245297,792,10
Argentina ,501,1980,m,1163689,1470,15
Argentina ,501,1980,m,1092460,2028,20
Argentina ,501,1980,m,1054073,2081,25
Argentina ,501,1980,m,955190,2262,30
Argentina ,501,1980,m,857324,3045,35
Argentina ,501,1980,m,784947,4383,40
Argentina ,501,1980,m,754938,6298,45
Argentina ,501,1980,m,722811,8298,50
Argentina ,501,1980,m,624381,10354,55
Argentina ,501,1980,m,502180,12981,60
Argentina ,501,1980,m,403016,15078,65
Argentina ,501,1980,m,293923,15165,70
Argentina ,501,1980,m,185401,13350,75
Argentina ,501,1980,m,88086,10779,80
Argentina ,501,1980,m,35159,6757,85
Argentina ,501,1980,m,,,110
Argentina ,501,1991,f,1680552,9714,0
Argentina ,501,1991,f,1620081,501,5
Argentina ,501,1991,f,1660183,439,10
Argentina ,501,1991,f,1438462,694,15
Argentina ,501,1991,f,1248785,825,20
Argentina ,501,1991,f,1177141,981,25
Argentina ,501,1991,f,1134725,1275,30
Argentina ,501,1991,f,1078642,1698,35
Argentina ,501,1991,f,976352,2141,40
Argentina ,501,1991,f,858104,2793,45
Argentina ,501,1991,f,776069,3902,50
Argentina ,501,1991,f,734916,5370,55
Argentina ,501,1991,f,694757,7059,60
Argentina ,501,1991,f,600687,8786,65
Argentina ,501,1991,f,475505,12396,70
Argentina ,501,1991,f,354463,15389,75
Argentina ,501,1991,f,216549,14271,80
Argentina ,501,1991,f,124983,17311,85
Argentina ,501,1991,f,,,110
Argentina ,501,1991,m,1737159,12468,0
Argentina ,501,1991,m,1671807,719,5
Argentina ,501,1991,m,1701575,697,10
Argentina ,501,1991,m,1467534,1289,15
Argentina ,501,1991,m,1268579,1619,20
Argentina ,501,1991,m,1180074,1638,25
Argentina ,501,1991,m,1097104,1965,30
Argentina ,501,1991,m,1043223,2636,35
Argentina ,501,1991,m,945715,3815,40
Argentina ,501,1991,m,833468,5466,45
Argentina ,501,1991,m,736367,8117,50
Argentina ,501,1991,m,673305,11050,55
Argentina ,501,1991,m,610969,13650,60
Argentina ,501,1991,m,492994,14911,65
Argentina ,501,1991,m,350727,17256,70
Argentina ,501,1991,m,231057,17057,75
Argentina ,501,1991,m,123355,12131,80
Argentina ,501,1991,m,59659,10225,85
Argentina ,501,1991,m,,,110
Argentina ,501,2001,f,1684113,5896,0
Argentina ,501,2001,f,1708613,384,5
Argentina ,501,2001,f,1671157,397,10
Argentina ,501,2001,f,1610837,661,15
Argentina ,501,2001,f,1648068,817,20
Argentina ,501,2001,f,1425315,908,25
Argentina ,501,2001,f,1235678,1083,30
Argentina ,501,2001,f,1162936,1431,35
Argentina ,501,2001,f,1117542,2114,40
Argentina ,501,2001,f,1055123,3007,45
Argentina ,501,2001,f,945303,4077,50
Argentina ,501,2001,f,818091,5140,55
Argentina ,501,2001,f,722960,6565,60
Argentina ,501,2001,f,660257,9330,65
Argentina ,501,2001,f,587726,13337,70
Argentina ,501,2001,f,455953,17056,75
Argentina ,501,2001,f,294873,19443,80
Argentina ,501,2001,f,220539,34203,85
Argentina ,501,2001,f,,,110
Argentina ,501,2001,m,1742919,7612,0
Argentina ,501,2001,m,1766102,527,5
Argentina ,501,2001,m,1725346,594,10
Argentina ,501,2001,m,1656502,1789,15
Argentina ,501,2001,m,1676961,2520,20
Argentina ,501,2001,m,1439600,2326,25
Argentina ,501,2001,m,1240291,2259,30
Argentina ,501,2001,m,1151183,2582,35
Argentina ,501,2001,m,1064170,3603,40
Argentina ,501,2001,m,1000667,5375,45
Argentina ,501,2001,m,888519,7650,50
Argentina ,501,2001,m,756550,9860,55
Argentina ,501,2001,m,633648,12705,60
Argentina ,501,2001,m,535958,16305,65
Argentina ,501,2001,m,434015,19876,70
Argentina ,501,2001,m,293485,20451,75
Argentina ,501,2001,m,155872,16165,80
Argentina ,501,2001,m,89424,18621,85
Argentina ,501,2001,m,,,110
Argentina ,501,2010,f,1659629,4540,0
Argentina ,501,2010,f,1612672,314,5
Argentina ,501,2010,f,1660512,431,10
Argentina ,501,2010,f,1682117,751,15
Argentina ,501,2010,f,1635694,846,20
Argentina ,501,2010,f,1577915,915,25
Argentina ,501,2010,f,1611784,1278,30
Argentina ,501,2010,f,1353498,1519,35
Argentina ,501,2010,f,1191149,1985,40
Argentina ,501,2010,f,1130301,2989,45
Argentina ,501,2010,f,1076491,4247,50
Argentina ,501,2010,f,997287,6044,55
Argentina ,501,2010,f,866871,8026,60
Argentina ,501,2010,f,724804,9966,65
Argentina ,501,2010,f,611093,13256,70
Argentina ,501,2010,f,510694,18654,75
Argentina ,501,2010,f,383435,25297,80
Argentina ,501,2010,f,339515,52146,85
Argentina ,501,2010,f,,,110
Argentina ,501,2010,m,1719784,5848,0
Argentina ,501,2010,m,1670208,422,5
Argentina ,501,2010,m,1716673,554,10
Argentina ,501,2010,m,1735094,1864,15
Argentina ,501,2010,m,1680399,2547,20
Argentina ,501,2010,m,1608580,2350,25
Argentina ,501,2010,m,1622573,2436,30
Argentina ,501,2010,m,1350330,2617,35
Argentina ,501,2010,m,1176492,3235,40
Argentina ,501,2010,m,1092182,4628,45
Argentina ,501,2010,m,991545,7153,50
Argentina ,501,2010,m,906989,10746,55
Argentina ,501,2010,m,760929,14211,60
Argentina ,501,2010,m,602522,17058,65
Argentina ,501,2010,m,454574,19380,70
Argentina ,501,2010,m,327896,21691,75
Argentina ,501,2010,m,204040,21656,80
Argentina ,501,2010,m,123703,25885,85
Argentina ,501,2010,m,,,110
Brasil,502,1980,f,8117291,95195,0
Brasil,502,1980,f,7294060,3687,5
Brasil,502,1980,f,7096173,3070,10
Brasil,502,1980,f,6864004,4687,15
Brasil,502,1980,f,5840163,5449,20
Brasil,502,1980,f,4801995,5852,25
Brasil,502,1980,f,3886121,6542,30
Brasil,502,1980,f,3227348,8050,35
Brasil,502,1980,f,2870432,9662,40
Brasil,502,1980,f,2352499,10898,45
Brasil,502,1980,f,2074512,13135,50
Brasil,502,1980,f,1582208,14682,55
Brasil,502,1980,f,1254246,17464,60
Brasil,502,1980,f,1048485,21852,65
Brasil,502,1980,f,695171,25836,70
Brasil,502,1980,f,455764,27616,75
Brasil,502,1980,f,207623,20617,80
Brasil,502,1980,f,136047,21626,85
Brasil,502,1980,f,,,110
Brasil,502,1980,m,8310609,118973,0
Brasil,502,1980,m,7477597,5057,5
Brasil,502,1980,m,7156264,4643,10
Brasil,502,1980,m,6705288,9121,15
Brasil,502,1980,m,5677012,12707,20
Brasil,502,1980,m,4647386,12788,25
Brasil,502,1980,m,3803898,12762,30
Brasil,502,1980,m,3128183,14237,35
Brasil,502,1980,m,2854993,17163,40
Brasil,502,1980,m,2301635,19461,45
Brasil,502,1980,m,2035358,23016,50
Brasil,502,1980,m,1564644,25038,55
Brasil,502,1980,m,1183788,26922,60
Brasil,502,1980,m,984159,31091,65
Brasil,502,1980,m,633195,32449,70
Brasil,502,1980,m,381348,29075,75
Brasil,502,1980,m,154885,18528,80
Brasil,502,1980,m,81357,14206,85
Brasil,502,1980,m,,,110
Brasil,502,1991,f,8138762,44529,0
Brasil,502,1991,f,8584974,2740,5
Brasil,502,1991,f,8453848,2636,10
Brasil,502,1991,f,7514864,4131,15
Brasil,502,1991,f,6837902,5036,20
Brasil,502,1991,f,6458223,5999,25
Brasil,502,1991,f,5658516,6996,30
Brasil,502,1991,f,4868594,8654,35
Brasil,502,1991,f,3990706,10462,40
Brasil,502,1991,f,3165908,11968,45
Brasil,502,1991,f,2638504,15405,50
Brasil,502,1991,f,2240915,18159,55
Brasil,502,1991,f,1927807,23755,60
Brasil,502,1991,f,1469428,27197,65
Brasil,502,1991,f,1015409,30789,70
Brasil,502,1991,f,707099,35139,75
Brasil,502,1991,f,392717,32431,80
Brasil,502,1991,f,258452,37718,85
Brasil,502,1991,f,,,110
Brasil,502,1991,m,8392538,57091,0
Brasil,502,1991,m,8837767,3883,5
Brasil,502,1991,m,8594628,4339,10
Brasil,502,1991,m,7496769,11934,15
Brasil,502,1991,m,6719588,17632,20
Brasil,502,1991,m,6170073,19141,25
Brasil,502,1991,m,5402043,20000,30
Brasil,502,1991,m,4592612,20816,35
Brasil,502,1991,m,3853532,21813,40
Brasil,502,1991,m,2986052,22860,45
Brasil,502,1991,m,2526513,27188,50
Brasil,502,1991,m,2008165,31092,55
Brasil,502,1991,m,1708212,36655,60
Brasil,502,1991,m,1305747,39375,65
Brasil,502,1991,m,866990,39451,70
Brasil,502,1991,m,566403,38575,75
Brasil,502,1991,m,288302,30421,80
Brasil,502,1991,m,154075,25625,85
Brasil,502,1991,m,,,110
Brasil,502,2000,f,8055034,34666,0
Brasil,502,2000,f,8156231,2150,5
Brasil,502,2000,f,8569677,2472,10
Brasil,502,2000,f,8921298,4331,15
Brasil,502,2000,f,8095085,5113,20
Brasil,502,2000,f,7032828,5706,25
Brasil,502,2000,f,6664403,7345,30
Brasil,502,2000,f,6304672,9924,35
Brasil,502,2000,f,5434140,12982,40
Brasil,502,2000,f,4510356,15956,45
Brasil,502,2000,f,3647208,19200,50
Brasil,502,2000,f,2867239,21894,55
Brasil,502,2000,f,2455895,29045,60
Brasil,502,2000,f,1947990,34128,65
Brasil,502,2000,f,1527977,41434,70
Brasil,502,2000,f,998714,42645,75
Brasil,502,2000,f,598625,42396,80
Brasil,502,2000,f,458778,60562,85
Brasil,502,2000,f,,,110
Brasil,502,2000,m,8331092,44219,0
Brasil,502,2000,m,8419736,3212,5
Brasil,502,2000,m,8783111,3821,10
Brasil,502,2000,m,9027782,14928,15
Brasil,502,2000,m,8048548,21509,20
Brasil,502,2000,m,6814230,19696,25
Brasil,502,2000,m,6364465,20809,30
Brasil,502,2000,m,5956011,23652,35
Brasil,502,2000,m,5112908,26868,40
Brasil,502,2000,m,4215798,29921,45
